meanHue, mom1, mom2, mom3, mom4, mom5, mom6, mom7,class
0.0672339, 0.000740948,5.91234e-008,3.52669e-011,2.53471e-012,-2.28492e-023,-6.12112e-016,-7.22721e-024,mela_gialla
0.0831894, 0.000731468,1.58689e-008,3.70978e-012,1.80927e-012,-3.68773e-024,-5.76713e-017,-2.89345e-024,mela_gialla
0.0628035, 0.000744572,6.13822e-008,4.03139e-011,2.92549e-012,-3.1079e-023,-7.24299e-016,-6.59292e-024,mela_gialla
0.083111, 0.000732034,1.46397e-008,5.01334e-012,1.85822e-012,-4.31179e-024,-5.33194e-017,-3.68454e-024,mela_gialla
0.0727574, 0.000733677,1.34479e-008,4.70058e-012,2.05083e-012,-5.80897e-024,-7.50222e-017,-2.60793e-024,mela_gialla
0.0785352, 0.000686208,1.52658e-008,2.92394e-012,4.61188e-013,4.90551e-025,4.71502e-017,-2.14881e-025,mela_gialla
0.0841183, 0.000697125,1.09729e-008,2.58632e-012,8.87456e-013,8.65999e-025,7.59361e-017,-1.02846e-024,mela_gialla
0.0747702, 0.000738937,3.02395e-009,8.19445e-012,2.40147e-012,-8.2461e-024,-1.32058e-016,6.74463e-024,mela_gialla
0.0790769, 0.000695576,9.34311e-009,2.83776e-012,7.18222e-013,5.03817e-025,5.42645e-017,-8.93046e-025,mela_gialla
0.0761519, 0.000684687,1.34467e-008,2.24214e-012,4.48212e-013,4.23121e-025,4.70065e-017,-1.51186e-025,mela_gialla
0.0694091, 0.000734371,4.63608e-010,3.50987e-012,1.29503e-012,-1.8597e-024,-1.15971e-017,-2.04072e-024,mela_gialla
0.066814, 0.00075342,1.60587e-009,3.68011e-012,1.78718e-012,-3.82069e-024,-2.72603e-017,-2.53169e-024,mela_gialla
0.0840308, 0.000734912,2.75656e-009,7.18741e-012,2.12465e-012,-7.01428e-024,-1.10355e-016,4.44235e-024,mela_gialla
0.0635988, 0.000765454,1.36653e-009,2.09511e-012,1.61533e-012,-2.36074e-024,-7.83504e-018,-1.80487e-024,mela_gialla
0.0663955, 0.000759505,3.72014e-009,1.00775e-011,1.58326e-012,-2.60042e-024,-8.28524e-017,5.76483e-024,mela_gialla
0.0823716, 0.00077119,1.47985e-009,8.66998e-012,1.04096e-012,-9.93457e-025,-3.38287e-017,2.96524e-024,mela_gialla
0.0662472, 0.000747871,9.37078e-009,7.28573e-012,1.52066e-012,-4.31407e-024,-1.46743e-016,2.64728e-024,mela_gialla
0.0593153, 0.000753905,1.21544e-008,1.5817e-011,2.10955e-012,-7.85992e-024,-2.15583e-016,9.31182e-024,mela_gialla
0.0826332, 0.00076978,6.05565e-009,9.72214e-012,4.24097e-012,-1.20866e-023,-2.96712e-016,2.44027e-023,mela_gialla
0.0755594, 0.000765237,4.59794e-009,1.08733e-011,4.02868e-012,-1.21258e-023,-2.24064e-016,2.37473e-023,mela_gialla
0.0787371, 0.000798171,8.68091e-008,3.96727e-011,2.72081e-012,-2.63524e-023,-7.70598e-016,-1.02288e-023,mela_gialla
0.0754987, 0.000793327,5.01778e-009,1.40608e-012,4.19605e-012,6.20373e-025,-2.96051e-016,1.01733e-023,mela_gialla
0.067272, 0.000789837,5.46191e-009,2.51058e-012,3.87154e-012,-1.01319e-024,-2.85914e-016,1.20275e-023,mela_gialla
0.0866882, 0.000806984,4.59505e-009,4.10056e-012,7.63326e-012,4.41277e-024,-5.16962e-016,4.24772e-023,mela_gialla
0.0850112, 0.000816092,2.28933e-009,4.28236e-012,9.01287e-012,-8.29306e-024,-4.28426e-016,5.53759e-023,mela_gialla
0.0953575, 0.000760828,2.96167e-008,1.81606e-011,3.47371e-012,-2.75874e-023,-5.97775e-016,3.95954e-025,mela_gialla
0.0870721, 0.000784264,8.25219e-009,7.37966e-012,5.56019e-012,-1.29578e-023,-4.75496e-016,3.31758e-023,mela_gialla
0.0822033, 0.00079257,1.19817e-008,1.13511e-011,6.35752e-012,-3.51211e-023,-5.61111e-016,4.10276e-023,mela_gialla
0.0863031, 0.000785771,2.77883e-008,2.62669e-011,5.12069e-012,-5.69874e-023,-8.4395e-016,1.67137e-023,mela_gialla
0.0810401, 0.000779791,2.02085e-008,1.94102e-011,4.79191e-012,-4.2235e-023,-6.61137e-016,1.87611e-023,mela_gialla
0.0789271, 0.000784439,2.08595e-008,2.30375e-011,5.45995e-012,-5.44624e-023,-7.20549e-016,2.79929e-023,mela_gialla
0.0695704, 0.000798528,2.80703e-008,2.02155e-011,5.58572e-012,-5.52201e-023,-9.0059e-016,2.17671e-023,mela_gialla
0.0885762, 0.000795313,3.21631e-008,1.85892e-011,4.91609e-012,-4.64435e-023,-8.7458e-016,7.18445e-024,mela_gialla
0.293257, 0.00132703,2.52791e-008,1.067e-012,8.8425e-011,1.52154e-022,-9.79519e-015,8.45318e-022,mela_rossa
0.253168, 0.00124866,2.98843e-008,1.82759e-011,6.1329e-011,8.57034e-022,-6.10621e-015,1.86581e-021,mela_rossa
0.254888, 0.00168177,2.35114e-007,2.96258e-010,1.82988e-010,-2.52671e-020,-6.92999e-014,3.43052e-020,mela_rossa
0.236581, 0.00121863,2.52041e-008,2.63294e-011,5.47356e-011,7.91598e-022,-4.61303e-015,1.92121e-021,mela_rossa
0.242159, 0.00167178,2.26877e-007,3.059e-010,1.74891e-010,-2.33511e-020,-6.67764e-014,3.30316e-020,mela_rossa
0.255747, 0.00136194,3.48965e-008,2.1844e-011,1.16383e-010,1.55007e-021,-3.84011e-015,5.65974e-021,mela_rossa
0.253757, 0.00171107,1.31218e-007,7.39076e-010,5.83134e-010,3.00623e-019,-3.09602e-016,2.3702e-019,mela_rossa
0.245371, 0.00123222,2.87384e-008,2.20417e-011,5.30311e-011,4.2126e-022,-4.47882e-015,1.76347e-021,mela_rossa
0.24285, 0.00124432,3.01114e-008,2.84279e-011,5.83138e-011,7.85912e-022,-5.33708e-015,2.24042e-021,mela_rossa
0.26598, 0.00135057,4.22706e-008,1.88656e-011,1.05784e-010,-9.32528e-022,-7.37411e-015,4.63279e-021,mela_rossa
0.256026, 0.00138638,4.40892e-008,1.82548e-011,1.25816e-010,-2.02905e-021,-6.35062e-015,5.67796e-021,mela_rossa
0.241498, 0.00219539,3.49705e-007,1.11197e-009,1.47794e-009,1.29844e-018,3.71517e-013,1.37976e-018,mela_rossa
0.265958, 0.00133284,2.53544e-008,4.28376e-012,9.24915e-011,9.65705e-023,-5.42977e-015,1.83851e-021,mela_rossa
0.238245, 0.0020067,2.27091e-007,4.11457e-010,7.25454e-010,2.03293e-019,-2.20151e-015,3.40241e-019,mela_rossa
0.210302, 0.00129832,3.42235e-008,6.24266e-011,1.10634e-010,5.92893e-021,9.46489e-015,7.02733e-021,mela_rossa
0.26923, 0.00170694,2.72075e-007,1.01359e-010,1.77346e-010,-7.86714e-021,-5.64383e-014,2.24382e-020,mela_rossa
0.26765, 0.00171416,3.09122e-007,1.99741e-010,1.75004e-010,-4.95881e-021,-4.78464e-014,3.23414e-020,mela_rossa
0.128848, 0.00090837,2.45741e-008,7.33612e-012,1.81437e-011,-1.62297e-022,-2.72355e-015,-1.322e-022,mela_rossa
0.299681, 0.00150935,2.06768e-007,9.4734e-011,1.01392e-010,-9.11083e-021,-4.47144e-014,-3.96705e-021,mela_rossa
0.123358, 0.00090996,2.45241e-008,6.96612e-012,1.85001e-011,-1.70789e-022,-2.76826e-015,-1.22224e-022,mela_rossa
0.315556, 0.00152826,2.12027e-007,9.84198e-011,1.12504e-010,-1.06165e-020,-4.96122e-014,-5.23825e-021,mela_rossa
0.11544, 0.000910578,2.44996e-008,7.50732e-012,1.87264e-011,-1.75393e-022,-2.80487e-015,-1.36152e-022,mela_rossa
0.312806, 0.00151748,2.0527e-007,7.71203e-011,1.09213e-010,-8.50128e-021,-4.76357e-014,-5.30932e-021,mela_rossa
0.116746, 0.000908355,2.41105e-008,6.14013e-012,1.83426e-011,-1.62666e-022,-2.72659e-015,-1.06925e-022,mela_rossa
0.298039, 0.00151237,2.05763e-007,9.16876e-011,1.10332e-010,-8.80876e-021,-4.74782e-014,-6.74915e-021,mela_rossa
0.225857, 0.00141792,8.61131e-008,3.96724e-011,5.20303e-011,-2.36389e-021,-1.52683e-014,-6.09631e-024,mela_rossa
0.134203, 0.000989922,5.79267e-008,2.61979e-011,3.1325e-011,-3.89964e-022,-5.87888e-015,-8.08203e-022,mela_rossa
0.248457, 0.00208099,2.24218e-007,4.08176e-010,9.24535e-010,2.29694e-019,5.71562e-014,5.19428e-019,mela_rossa
0.225134, 0.00147983,1.31789e-007,8.78377e-011,4.8439e-011,-3.14632e-021,-1.75497e-014,-2.895e-022,mela_rossa
0.146684, 0.000937421,5.66329e-008,2.50539e-011,2.22314e-011,-4.25188e-022,-5.04669e-015,-3.07401e-022,mela_rossa
0.223167, 0.00148904,1.30046e-007,8.0497e-011,5.13486e-011,-3.28209e-021,-1.84463e-014,-3.55406e-022,mela_rossa
0.231601, 0.00183384,1.79708e-007,3.18741e-010,4.50012e-010,8.26147e-020,-2.44154e-014,1.49072e-019,mela_rossa
0.287018, 0.00149726,1.75742e-007,1.28264e-010,3.13503e-011,-1.49028e-021,-1.20936e-014,-1.31574e-021,mela_rossa
0.136535, 0.00099107,9.94953e-008,6.26182e-011,2.89193e-011,-1.05244e-021,-9.01912e-015,-6.37843e-022,mela_rossa
0.230579, 0.00149576,1.58416e-007,9.39328e-011,4.40941e-011,-2.61431e-021,-1.70818e-014,-1.10381e-021,mela_rossa
0.128199, 0.000986437,9.41244e-008,5.81583e-011,2.85575e-011,-1.02596e-021,-8.69969e-015,-5.49443e-022,mela_rossa
0.150839, 0.00100968,9.80994e-008,5.22318e-011,3.12957e-011,-1.0831e-021,-9.748e-015,-6.54125e-022,mela_rossa
0.2723, 0.0018233,6.42467e-007,7.21923e-010,1.9547e-010,-5.98078e-020,-1.18413e-013,-4.26004e-020,mela_rossa
0.145967, 0.00104025,1.13558e-007,8.04857e-011,3.79244e-011,-1.89158e-021,-1.27411e-014,-9.01122e-022,mela_rossa
0.296079, 0.00180581,6.46671e-007,6.16022e-010,1.81518e-010,-4.13138e-020,-1.04766e-013,-4.4469e-020,mela_rossa
0.252833, 0.00191672,1.89616e-007,3.8216e-010,5.47487e-010,1.4224e-019,3.10822e-014,2.06112e-019,mela_rossa
0.242634, 0.00202201,1.70072e-007,1.96524e-010,7.33146e-010,8.85988e-020,-5.42306e-014,2.63807e-019,mela_rossa
0.143212, 0.00103538,8.25955e-008,5.57598e-011,3.59001e-011,-1.42101e-021,-1.03076e-014,-7.48764e-022,mela_rossa
0.206735, 0.00223418,1.15055e-006,1.09827e-009,6.29287e-010,-5.13498e-019,-5.54451e-013,-1.00039e-019,mela_rossa
0.247495, 0.00213651,2.05521e-007,7.43321e-010,1.37112e-009,1.05466e-018,1.53125e-013,8.965e-019,mela_rossa
0.246431, 0.00160289,1.4359e-007,3.52297e-010,2.65783e-010,4.0618e-020,-3.96761e-014,7.04596e-020,mela_rossa
0.224899, 0.00182021,1.65029e-007,4.48443e-010,7.90905e-010,1.44586e-019,-2.57131e-013,4.4828e-019,mela_rossa
0.220873, 0.00182173,2.11184e-007,5.12152e-010,7.25824e-010,1.20892e-019,-2.67013e-013,4.257e-019,mela_rossa
0.232035, 0.00171644,3.12959e-007,4.90137e-010,2.68497e-010,-7.81681e-020,-1.4783e-013,5.8111e-020,mela_rossa
0.274563, 0.00169939,2.48779e-007,5.11917e-010,3.3473e-010,6.48684e-021,-1.11392e-013,1.38409e-019,mela_rossa
0.24919, 0.00172542,2.72754e-007,6.59888e-010,3.37708e-010,1.71397e-020,-1.20616e-013,1.58497e-019,mela_rossa
0.280727, 0.00146691,9.54399e-008,1.11935e-010,2.66191e-011,-1.2726e-021,-7.59337e-015,7.01263e-022,mela_rossa
0.275852, 0.00146386,9.3488e-008,1.22624e-010,2.44064e-011,-1.22877e-021,-6.98934e-015,5.22351e-022,mela_rossa
0.241417, 0.00212006,2.10934e-007,6.0627e-010,1.1316e-009,7.45597e-019,1.03723e-013,5.67965e-019,mela_rossa
0.225955, 0.00175641,1.1044e-007,6.84595e-010,4.05749e-010,2.09207e-019,1.80134e-014,4.43049e-020,mela_rossa
0.232567, 0.00178192,1.52626e-007,4.26513e-010,4.90883e-010,2.18521e-019,4.85069e-014,5.19542e-020,mela_rossa
0.223785, 0.00169077,1.54575e-007,6.89066e-010,3.24489e-010,1.19908e-019,-5.59082e-015,9.57334e-020,mela_rossa
0.241468, 0.0016022,8.55986e-008,2.90613e-010,2.33149e-010,4.21647e-020,-2.4902e-014,4.36491e-020,mela_rossa
0.234566, 0.00163066,1.20572e-007,2.58191e-010,2.35138e-010,3.95463e-020,-4.47495e-014,4.2341e-020,mela_rossa
0.235412, 0.00173988,1.48668e-007,4.58128e-010,2.47101e-010,1.60538e-020,-6.64106e-014,8.15742e-020,mela_rossa
0.2374, 0.00124537,2.05678e-008,1.92121e-011,6.1323e-011,1.63463e-021,2.20133e-016,1.32606e-021,mela_rossa
0.255966, 0.00177367,2.14327e-007,2.37504e-010,2.51003e-010,5.01765e-021,-4.49917e-014,6.10794e-020,mela_rossa
0.250318, 0.00125706,2.44726e-008,1.31201e-011,6.14144e-011,1.11717e-021,-3.20789e-016,1.3383e-021,mela_rossa
0.239425, 0.00177736,2.15935e-007,2.62366e-010,2.69925e-010,1.79461e-020,-4.56833e-014,6.9554e-020,mela_rossa
0.235332, 0.0012544,2.68772e-008,2.4104e-011,7.02883e-011,2.24932e-021,8.38069e-016,1.81957e-021,mela_rossa
0.233854, 0.00178131,1.95501e-007,2.08129e-010,2.78528e-010,9.71242e-021,-4.83912e-014,6.63537e-020,mela_rossa
0.0558032, 0.000729488,1.0184e-007,3.3563e-011,1.20678e-012,7.66147e-024,3.83739e-016,-5.36117e-025,bicchiere
0.0429897, 0.000706525,7.71216e-008,3.04571e-011,1.1385e-012,6.64205e-024,3.12269e-016,-9.10296e-025,bicchiere
0.0273085, 0.000732611,1.09031e-007,3.3397e-011,1.30353e-012,7.84081e-024,3.87962e-016,3.53476e-024,bicchiere
0.0447122, 0.000722678,9.5024e-008,3.51049e-011,1.3986e-012,9.70724e-024,4.27787e-016,1.34471e-024,bicchiere
0.0468809, 0.000723992,9.60339e-008,3.46473e-011,1.39959e-012,9.7182e-024,4.32684e-016,7.38907e-025,bicchiere
0.0403904, 0.00072922,1.00027e-007,3.64953e-011,1.12991e-012,5.94942e-024,2.94785e-016,4.1535e-024,bicchiere
0.0373792, 0.000731156,1.01446e-007,3.83554e-011,1.22893e-012,6.48148e-024,3.02382e-016,5.40166e-024,bicchiere
0.051669, 0.000663477,9.53324e-009,3.42191e-011,9.57903e-017,2.14896e-032,-9.3525e-021,5.4842e-030,bicchiere
0.0516849, 0.000664868,9.97946e-009,3.50585e-011,3.09799e-015,-5.44409e-029,-3.09407e-019,1.01953e-027,bicchiere
0.0626912, 0.000666191,1.13819e-008,3.41596e-011,1.50998e-015,-1.01e-028,4.31058e-020,-3.27726e-028,bicchiere
0.065004, 0.000662376,8.57408e-009,3.22904e-011,1.60017e-017,-6.56876e-032,8.66629e-022,-3.57757e-031,bicchiere
0.0655817, 0.000667569,1.13968e-008,3.37727e-011,1.88436e-014,-1.50313e-026,-1.08029e-018,1.78123e-028,bicchiere
0.050351, 0.000664148,8.44124e-009,3.6374e-011,8.8714e-015,4.32824e-027,-5.36829e-019,2.58118e-027,bicchiere
0.0616203, 0.00074201,1.13452e-007,2.91879e-011,2.51203e-012,2.09783e-023,8.32251e-016,-4.7529e-024,bicchiere
0.0457176, 0.000665523,1.24518e-008,3.24691e-011,6.28717e-015,2.8357e-027,7.00524e-019,1.67642e-028,bicchiere
0.0499226, 0.000662563,1.03098e-008,2.92224e-011,3.10641e-015,-8.12388e-028,-2.38807e-019,4.64763e-028,bicchiere
0.0581896, 0.000661071,8.16336e-009,3.22226e-011,6.36789e-016,-8.96602e-029,5.70909e-020,1.6778e-029,bicchiere
0.0504519, 0.00066405,1.06986e-008,3.32989e-011,1.11024e-015,1.00798e-028,8.40607e-020,-1.88176e-028,bicchiere
0.0483292, 0.000664677,1.19915e-008,3.02269e-011,3.35813e-015,8.92084e-028,3.38323e-019,5.90651e-028,bicchiere
0.0467474, 0.000663626,1.11777e-008,3.2178e-011,1.62321e-015,2.47767e-028,1.41857e-019,2.761e-028,bicchiere
0.0445287, 0.000667806,1.47631e-008,3.28711e-011,1.00159e-014,3.34719e-027,9.80413e-019,-4.67169e-027,bicchiere
0.0577274, 0.000726752,1.00822e-007,3.19159e-011,1.34856e-012,8.84292e-024,4.28171e-016,2.77972e-025,bicchiere
0.063106, 0.000735415,1.02073e-007,2.94544e-011,2.35536e-012,1.70578e-023,6.8684e-016,-9.69068e-024,bicchiere
0.0528405, 0.000732867,1.01597e-007,3.06981e-011,1.74999e-012,1.20345e-023,5.39901e-016,-4.43735e-024,bicchiere
0.058554, 0.000719568,9.40918e-008,2.6459e-011,1.09824e-012,5.82199e-024,3.32336e-016,1.07347e-024,bicchiere
0.0869109, 0.000733994,4.82001e-008,1.31972e-010,1.80454e-012,-2.78188e-023,-3.91979e-016,1.26961e-024,bicchiere
0.0757424, 0.000735781,5.24582e-008,1.32875e-010,2.00214e-012,-3.20187e-023,-4.34554e-016,-6.41965e-024,bicchiere
